brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,horsepower
Hyundai,Elantra N Base,2022,11650,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300,276.0
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,59995,382.0
BMW,650 Gran Coupe i xDrive,2015,69000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,25700,445.0
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,48000,362.0
Kia,Sorento SX,2011,171000,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,5999,276.0
Lexus,LX 570 Base,2016,118700,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,46900,383.0
Jeep,New Compass Trailhawk,2017,119000,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,15900,180.0
Audi,A4 2.0T Premium Plus quattro,2012,125575,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,8999,211.0
Hyundai,Tucson SE,2007,16200,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,8200,173.0
BMW,Z4 sDrive28i,2014,70000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,20000,240.0
Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,79950,552.0
Audi,A7 Premium,2012,54000,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,36880,310.0
MINI,Convertible John Cooper Works,2017,24280,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000,228.0
Toyota,Avalon Touring,2016,89148,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,17500,268.0
Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,30990,300.0
Mercedes-Benz,AMG C 63 S,2017,60000,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,52500,503.0
Hummer,H2 Base,2005,110900,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,19500,325.0
Porsche,911 Carrera S,2013,39000,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,73000,400.0
Mercedes-Benz,CLA-Class CLA 250,2016,120000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,19800,208.0
Chrysler,300 Touring,2009,134602,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,7500,250.0
Audi,A3 2.0T,2010,83500,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,6500,200.0
Ford,Mustang GT Premium,2014,37060,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,28500,420.0
Acura,RL Technology,2010,97700,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,10995,300.0
Volvo,XC90 Hybrid T8 R-Design,2018,40000,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42000,400.0
Mercedes-Benz,GLK-Class GLK 350,2014,186000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,10000,302.0
Lexus,IS 350 Base,2014,104000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,21000,306.0
BMW,X4 M40i,2023,8500,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,67900,382.0
Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,46900,237.0
Audi,A5 2.0T Premium Plus,2019,47523,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,31000,248.0
Chrysler,300C SRT8,2006,43000,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,19995,425.0
BMW,M4 Base,2019,57800,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,55999,425.0
Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,49950,300.0
Audi,RS 5 2.9T,2019,21240,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,59950,444.0
Porsche,Cayenne Base,2019,59338,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42499,335.0
Maserati,Quattroporte S,2019,23230,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,44999,424.0
Jaguar,XF 35t R-Sport,2017,48000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,30000,340.0
Lexus,ES 330 Base,2005,41059,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,Yes,11100,225.0
Genesis,G90 3.3T Premium,2021,9950,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Blue,None reported,Yes,53950,365.0
Volkswagen,Golf R 20th Anniversary Edition,2023,633,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,47999,315.0
Hyundai,Sonata Hybrid Limited,2015,66000,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,At least 1 accident or damage reported,Yes,15900,199.0
Audi,RS 7 4.0T Prestige,2014,59715,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,45000,560.0
BMW,740 Li,2012,85252,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,18500,326.0
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,80000,362.0
BMW,M6 Base,2016,25500,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,55000,560.0
Hyundai,Elantra N Base,2023,3800,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,34000,276.0
Mercedes-Benz,SLC 300 Base,2018,33000,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,29900,241.0
BMW,435 Gran Coupe i,2016,76009,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,24950,300.0
Lexus,RC 350 Base,2015,48000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,None reported,Yes,32900,306.0
BMW,525 i,2005,91420,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,8900,215.0
Toyota,Corolla LE,2003,124756,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,At least 1 accident or damage reported,Yes,4995,130.0
GMC,Acadia SLT-1,2012,116226,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,7900,288.0
BMW,i8 Base,2019,41500,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,86000,369.0
Lexus,ES 300h Base,2013,87001,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,None reported,Yes,17995,200.0
Chevrolet,Express 1500 Work Van,2014,139804,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500,195.0
Jeep,Gladiator Rubicon,2022,27300,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,47500,285.0
BMW,Z4 sDrive28i,2014,36812,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,27000,240.0
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18000,340.0
Cadillac,XT4 Sport,2019,44500,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,None reported,Yes,28900,237.0
Bentley,Arnage R,2005,8332,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,None reported,Yes,47350,400.0
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,36500,550.0
Ford,Utility Police Interceptor Base,2013,105000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,At least 1 accident or damage reported,Yes,6600,300.0
Audi,A5 2.0T Premium,2011,92203,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,9995,211.0
Nissan,GT-R Premium,2010,15600,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,69500,485.0
Toyota,Corolla LE,2010,72348,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,9995,132.0
Porsche,Cayenne E-Hybrid S,2016,96000,Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,Yes,23000,416.0
INFINITI,Q70h Base,2016,52750,Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,28998,360.0
BMW,650 Gran Coupe i xDrive,2015,41000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,30000,445.0
Mercedes-Benz,AMG C AMG C 63,2016,62000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,40000,469.0
Land,Rover LR3 HSE,2006,153843,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,9950,300.0
Ford,Transit Connect XLT,2015,194454,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,9888,169.0
Lexus,LX 570 Three-Row,2021,21000,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,89999,383.0
Nissan,Armada SL,2021,67800,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,36500,400.0
Porsche,Cayman Base,2014,79000,Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,Yes,42999,275.0
Chevrolet,Monte Carlo SS,2006,66840,Gasoline,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,12000,303.0
BMW,M5 Base,2013,86000,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,White,None reported,Yes,32000,560.0
Chevrolet,Monte Carlo SS,2005,75000,Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,12500,240.0
Land,Rover Range Rover Evoque Pure,2015,84000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,22800,240.0
Audi,S7 4.0T Premium Plus,2017,52500,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,39999,450.0
GMC,Acadia SLT-1,2011,120000,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,None reported,Yes,7500,288.0
Kia,K900 5.0L,2017,36486,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,23950,420.0
Ford,E150 XLT,2013,162100,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,Black,Gray,None reported,Yes,12500,255.0
Subaru,Forester Base,2020,32744,Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Gray,None reported,Yes,24000,182.0
Toyota,Tacoma PreRunner,2008,202055,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,8500,236.0
RAM,2500 Laramie,2019,65000,Diesel,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,None reported,Yes,65000,370.0
Cadillac,DTS Base,2010,49620,Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,10499,275.0
Audi,Q7 45 Premium Plus,2021,68000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,36499,248.0
Lexus,LX 470 Base,1999,82000,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,25000,230.0
Ford,Escape Limited,2012,129000,Gasoline,171.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,7000,171.0
Lexus,LS 460 L,2014,106731,Gasoline,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,30000,360.0
Ford,Expedition Platinum,2019,34672,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,White,None reported,Yes,45500,400.0
Chevrolet,Malibu LTZ,2010,55900,Gasoline,252.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,Beige,None reported,Yes,8950,252.0
Audi,A5 2.0T Premium Plus,2015,82000,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,None reported,Yes,17000,220.0
Scion,tC Base,2013,177600,Gasoline,180.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,7100,180.0
Lincoln,MKZ Hybrid Base,2014,78568,Hybrid,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Blue,Beige,None reported,Yes,15500,188.0
Ford,Transit-350 XL,2018,95000,E85 Flex Fuel,275.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,43000,275.0
Volvo,XC90 3.2,2011,88300,Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,11500,235.0
Chevrolet,Avalanche LTZ,2013,98000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,27499,320.0
Audi,TT RS 2.5T,2018,20675,Gasoline,400.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,76000,400.0
Lincoln,Navigator L,2008,95000,Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,10900,300.0
Hyundai,Elantra GLS,2010,107000,Gasoline,138.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Blue,Blue,At least 1 accident or damage reported,Yes,6250,138.0
Audi,SQ5 3.0T Premium Plus,2016,60000,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,24700,354.0
Mitsubishi,Lancer Evolution GSR,2012,33000,Gasoline,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,34999,291.0
Mercedes-Benz,Maybach S S 600,2016,108500,Gasoline,523.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,63500,523.0
Ford,Expedition Max Limited,2022,26500,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,65900,440.0
Lexus,LX 570 Three-Row,2019,19050,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,76900,383.0
Chevrolet,Traverse Premier,2020,52000,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,35800,310.0
Mercedes-Benz,Sprinter High Roof,2014,65000,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,54999,188.0
BMW,X5 3.0i,2004,140000,Gasoline,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,6730,225.0
Ford,Fusion SE,2018,75600,Gasoline,181.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,14950,181.0
Lincoln,MKZ Base,2015,117292,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,Yes,12000,240.0
Genesis,G90 5.0 Ultimate,2017,26000,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,33600,420.0
Saturn,Sky Base,2008,15020,Gasoline,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Red,None reported,Yes,18500,173.0
Mercedes-Benz,SL-Class SL 550,2013,115000,Gasoline,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,36000,429.0
Porsche,911 Carrera C2S,2005,28500,Gasoline,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,63500,355.0
Mercedes-Benz,AMG GLA 45 Base 4MATIC,2018,51700,Gasoline,375.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,32000,375.0
Ford,Taurus X Limited,2008,148949,Gasoline,263.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,3900,263.0
BMW,440 Gran Coupe i,2018,39300,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,31750,320.0
Honda,S2000 CR,2008,82323,Gasoline,237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,28500,237.0
Ford,Excursion Limited,2001,109357,Gasoline,310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,None reported,Yes,12749,310.0
Mercedes-Benz,SL-Class SL500 Roadster,2004,46000,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,18853,302.0
INFINITI,G35 Sport,2007,37100,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,16900,306.0
Volkswagen,Golf GTI 2.0T S 4-Door,2016,89000,Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,14500,210.0
Lincoln,Navigator L Reserve,2019,67073,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,47999,450.0
Volkswagen,Routan SE,2012,123815,Gasoline,283.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Gray,None reported,Yes,5000,283.0
Land,Rover Range Rover Supercharged,2008,114287,Gasoline,400.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,9900,400.0
Acura,ILX 2.0L w/Premium Package,2015,75000,Gasoline,150.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gold,Beige,None reported,Yes,14500,150.0
BMW,X6 sDrive35i,2016,70582,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,White,At least 1 accident or damage reported,Yes,35000,300.0
Porsche,Cayman S,2014,33088,Gasoline,325.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,49750,325.0
Lincoln,Corsair Grand Touring,2021,1850,Plug-In Hybrid,266.0HP 2.5L 4 Cylinder Engine Plug-In Electric/Gas,CVT Transmission,Silver,Beige,None reported,Yes,49000,266.0
Cadillac,DTS Luxury II,2008,94155,Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,None reported,Yes,10500,275.0
Cadillac,ATS 3.6L Luxury,2016,25000,Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Beige,None reported,Yes,17999,335.0
GMC,Sierra 1500 SLT,2016,99500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,27995,355.0
INFINITI,G37 x,2009,158564,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,8750,328.0
Ford,Transit-350 XLT,2023,20000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,78499,310.0
Cadillac,XTS Luxury,2018,46711,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,20850,304.0
Nissan,NV Passenger NV3500 HD SL V8,2017,46496,Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,41000,375.0
Mercedes-Benz,GLS 450 Base 4MATIC,2019,19800,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,53800,362.0
Toyota,Land Cruiser Base,2008,175000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,37900,381.0
Toyota,Land Cruiser Base,2016,61500,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,63500,381.0
